No errors;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No warnings;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171 ms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
data source=metars;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4336 results;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
raw_text;station_id;observation_time;latitude;longitude;temp_c;dewpoint_c;wind_dir_degrees;wind_speed_kt;wind_gust_kt;visibility_statute_mi;altim_in_hg;sea_level_pressure_mb;corrected;auto;auto_station;maintenance_indicator_on;no_signal;lightning_sensor_off;freezing_rain_sensor_off;present_weather_sensor_off;wx_string;sky_cover;cloud_base_ft_agl;sky_cover;cloud_base_ft_agl;sky_cover;cloud_base_ft_agl;sky_cover;cloud_base_ft_agl;flight_category;three_hr_pressure_tendency_mb;maxT_c;minT_c;maxT24hr_c;minT24hr_c;precip_in;pcp3hr_in;pcp6hr_in;pcp24hr_in;snow_in;vert_vis_ft;metar_type;elevation_m
KBDN 262135Z AUTO 36007KT 10SM CLR 16/03 A3008 RMK AO2;KBDN;2014-09-26T21:35:00Z;44.1;-121.2;16.0;3.0;360;7;;10.0;30.079725;;;TRUE;TRUE;;;;;;;CLR;;;;;;;;VFR;;;;;;;;;;;;SPECI;1055.0
KXVG 262135Z AUTO 14007KT 10SM BKN045 24/15 A3011 RMK AO2;KXVG;2014-09-26T21:35:00Z;46.98;-94.2;24.0;15.0;140;7;;10.0;30.109253;;;TRUE;TRUE;;;;;;;BKN;4500;;;;;;;VFR;;;;;;;;;;;;METAR;407.0
KVDF 262135Z AUTO 08008KT 3SM RA SCT010 BKN015 OVC055 25/23 A2998 RMK AO2;KVDF;2014-09-26T21:35:00Z;28.02;-82.33;25.0;23.0;80;8;;3.0;29.97933;;;TRUE;TRUE;;;;;;RA;SCT;1000;BKN;1500;OVC;5500;;;MVFR;;;;;;;;;;;;METAR;7.0
KUYF 262135Z AUTO 04005KT 10SM CLR 25/10 A3021 RMK AO2;KUYF;2014-09-26T21:35:00Z;;;25.0;10.0;40;5;;10.0;30.209646;;;TRUE;TRUE;;;;;;;CLR;;;;;;;;VFR;;;;;;;;;;;;METAR;
KTEX 262135Z AUTO 25010G16KT 10SM CLR A3032 RMK AO2 LTG DSNT SE;KTEX;2014-09-26T21:35:00Z;37.95;-107.9;;;250;10;16;10.0;30.318897;;;TRUE;TRUE;;;;;;;CLR;;;;;;;;VFR;;;;;;;;;;;;METAR;2769.0
KSTF 262135Z AUTO 06006KT 10SM SCT070 28/16 A3007 RMK AO2;KSTF;2014-09-26T21:35:00Z;33.43;-88.85;28.0;16.0;60;6;;10.0;30.070866;;;TRUE;TRUE;;;;;;;SCT;7000;;;;;;;VFR;;;;;;;;;;;;METAR;102.0
KSLO 262135Z AUTO 00000KT 10SM CLR 28/14 A3017 RMK AO2;KSLO;2014-09-26T21:35:00Z;38.65;-88.97;28.0;14.0;0;0;;10.0;30.171259;;;TRUE;TRUE;;;;;;;CLR;;;;;;;;VFR;;;;;;;;;;;;METAR;175.0
KRQO 262135Z AUTO 18008KT 137V197 10SM CLR 29/08 A3007 RMK AO2;KRQO;2014-09-26T21:35:00Z;35.47;-98.0;29.0;8.0;180;8;;10.0;30.070866;;;TRUE;TRUE;;;;;;;CLR;;;;;;;;VFR;;;;;;;;;;;;METAR;432.0
KPHT 262135Z AUTO 04006KT 10SM FEW050 27/15 A3013 RMK;KPHT;2014-09-26T21:35:00Z;36.33;-88.38;27.0;15.0;40;6;;10.0;30.129921;;;TRUE;;;;;;;;FEW;5000;;;;;;;VFR;;;;;;;;;;;;METAR;177.0
KORS 262135Z AUTO 18008G14KT 030V040 10SM SCT065 17/14 A2998 RMK AO2;KORS;2014-09-26T21:35:00Z;48.7;-122.92;17.0;14.0;180;8;14;10.0;29.97933;;;TRUE;TRUE;;;;;;;SCT;6500;;;;;;;VFR;;;;;;;;;;;;METAR;9.0
